Nombre;Tipo identificación;Número de identificación;Dirección;Contacto principal;Teléfono Principal;Teléfono 2;Correo Electrónico Institucional;Correo electrónico 2;Página web;Clasificación;Lider IVC;Profesional SFI;Secretario;Sector;Propiedad;Descripción;Observaciones;Indicativo;Departamento;COD_DTO;Municipio;COD_MUNICIPIO;Teléfono Celular;cod.secretarías ETDH;cod.secretarías EPBM;Código IES Padre;Código SIC;Código IES;Carácter Académico;Ente emite norma creación;Acto Admin Norma de Creación;Acreditada Alta Calidad;Vigencia de la Acreditación;Número Norma de Creación;Tipo cubrimiento;Fecha Acreditación;Naturaleza Jurídica;Misión;Fecha Norma de Creación;Programas Vigentes;Resolución de Acreditación
Secretaría de Educación de Amazonas;Nit;899999336;Carrera 11 No. 9-62;GLADYS OMAIRA SANTANA MARTÍNEZ;3212005899;6085924624;ivigilancia@sedamazonas.gov.co;jaimesmedinasilva@gmail.com;https://www.amazonas.gov.co/directorio-institucional/secretaria-de-educacion-y-cultura;Entidad Territorial Certificada;JAIME SILVIO MEDINA SILVA;Loida Ruth Silva Morales;GLADYS OMAIRA SANTANA MARTÍNEZ;Oficial;Pública;;;608;Amazonas;91;Leticia;91001;3212005899;3828;46;;;;;;;;;;;;;;;;
Secretaría de Educación de Antioquia;Nit;890900286;"Calle 42 B N° 52 - 106 Centro Administrativo Departamental ""José María Córdova""";MAURICIO ALVIAR RAMÍREZ;3113894933;6044099000;raulhumberto.berrio@antioquia.gov.co;raulberrioposada@gmail.com;https://www.seduca.gov.co/;Entidad Territorial Certificada;RAÚL HUMBERTO BERRÍO POSADA;Jenifer Jaine Vergara Garces;MAURICIO ALVIAR RAMÍREZ;Oficial;Pública;;;604;Antioquia;5;Medellín;5001;3113894933;3758;5;;;;;;;;;;;;;;;;
Secretaría de Educación de Apartadó;Nit;890980095;Carrera 100 No. 103A – 02;JAMINTON DAVID VIVES SERNA;3146163495;604828 0457 ext. 1600;inspeccion.vig.edu@apartado.gov.co;ayazop1919@gmail.com;https://www.apartado-antioquia.gov.co;Entidad Territorial Certificada;SERLY YEINS AYAZO PEÑATA ;Hector Humberto Hernandez;JAMINTON DAVID VIVES SERNA;Oficial;Pública;;;604;Antioquia;5;Apartadó;5045;3146163495;7692;267;;;;;;;;;;;;;;;;
Secretaría de Educación de Arauca;Nit;800102838;Calle 20 Carrera 21 Esquina;ARIEL PEDRAZA PINZON;3102283164;6078852440 ;amparo.prieto@sedarauca.edu.co ;amparop47@hotmail.com ;https://www.sedarauca.edu.co/;Entidad Territorial Certificada;AMPARO PRIETO PIÑEROS ;Jenifer Jaine Vergara Garces;ARIEL PEDRAZA PINZON;Oficial;Pública;;;607;Arauca;81;Arauca;81001;3102283164;3824;60;;;;;;;;;;;;;;;;
Secretaría de Educación de Archipiélago de San Andrés, Providencia y Santa Catalina;Nit;892400038;Avenida Francisco Newball, Edificio Coral Palace Piso 2;RICARDO GORDON MAY;3156805711;6085130801;mforbes@sanandres.gov.co;marjoryforbes@hotmail.com;https://www.sedsanandres.gov.co ;Entidad Territorial Certificada;MARJORY FORBES ARCHBOLD;Marco Tulio Marquez Rozo;RICARDO GORDON MAY;Oficial;Pública;;;608;ARCHIPIÉLAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;88;San Andres;88001;3156805711;3827;162;;;;;;;;;;;;;;;;
Secretaria de Educación de Armenia;Nit;890000464;Carrera 23 calle 10a.   Barrio  Granada;PAULA ANDREA HUERTAS ARCILA;3122586915;6067378424;acastellanossem@tic.edu.co;arcastellanos@uniquindio.edu.co;https://www.semarmenia.gov.co;Entidad Territorial Certificada;ANGELICA DEL ROSARIO CASTELLANOS LÓPEZ;Hector Julio Flechas Pacheco;PAULA ANDREA HUERTAS ARCILA;Oficial;Pública;;;606;Quindío;63;Armenia;5059;3122586915;3804;152;;;;;;;;;;;;;;;;
Secretaría de Educación de Atlántico;Nit;890102006;Calle 40 No.45-46  Piso 2;LEYTON DANIEL BARRIOS TORRES;3004816570;6053307000;Jtorres@atlantico.gov.co;tobarjc@gmail.com;https://www.atlantico.gov.co;Entidad Territorial Certificada;JUAN CARLOS TORRES BARRIOS ;Jenifer Jaine Vergara Garces;LEYTON DANIEL BARRIOS TORRES;Oficial;Pública;;;605;Atlántico;8;Barranquilla;8001;3004816570;3764;64;;;;;;;;;;;;;;;;
Secretaría de Educación de Barrancabermeja;Nit;890201900;Carrera 12D No 56 - 77 Barrio Pueblo Nuevo;MARIBEL BENÍTEZ PEREA;3133950002;57313326 4054;inspeccion.educacion@barrancabermeja.gov.co;vilgonba@hotmail.com;https://www.barrancabermeja.gov.co/;Entidad Territorial Certificada;VILMA GONZÁLEZ BAENA ;Marco Tulio Marquez Rozo;MARIBEL BENÍTEZ PEREA;Oficial;Pública;;;57;Santander;68;Barrancabermeja;68081;3133950002;3810;166;;;;;;;;;;;;;;;;
Secretaría de Educación de Barranquilla;Nit;890102018;Carrera 43 N0 35-38 Centro Comercial los Ángeles Piso 3;PAOLA ANDREA AMAR SEPULVEDA;3205908025;6054010205;Pablo.morillo@sedbarranquilla.edu.co;maria.redondo@sedbarranquilla.edu.co;https://www.barranquilla.gov.co/educacion;Entidad Territorial Certificada;PABLO MORILLO VIVAS;Marco Tulio Marquez Rozo;PAOLA ANDREA AMAR SEPULVEDA;Oficial;Pública;;;605;Atlántico;8;Barranquilla;8001;3205908025;4909;66;;;;;;;;;;;;;;;;
Secretaría de Educación de Bello;Nit;890980112;Carrera 53 #50-52 Barrio Pérez;EDGAR DE JESÚS CALLEJAS ARANGO;3007331416;6046047944 ext 1200;Jesly.meza@bello.gov.co;Jesly.meza@bello.gov.co;https://www.belloeduca.gov.co/;Entidad Territorial Certificada;JESLY ISABEL MEZA DIAZ;Marco Tulio Marquez Rozo;EDGAR DE JESÚS CALLEJAS ARANGO;Oficial;Pública;;;604;Antioquia;5;Bello;5088;3007331416;3760;48;;;;;;;;;;;;;;;;
